H2O dE=2.0
Au  H  O 
 1.0000000000000000
     8.9322996139999997    0.0000000000000000    0.0000000000000000
    -4.4661498069999999    7.7355983799999999    0.0000000000000000
     0.0000000000000000    0.0000000000000000   19.8621006010000016
 Au  H   O  
  27  15   4
Cartesian
  1.4987100000000000  0.8537800000000000  0.0621700000000000
 -0.0422400000000000  1.7830900000000001  5.0218699999999998
 -4.4562299999999997  7.7298700000000000  2.4932900000000000
  4.4761100000000003  0.8537800000000000  0.0621700000000000
  3.0464000000000002  1.7837000000000001  5.0126999999999997
 -1.4787399999999999  7.7298700000000000  2.4932900000000000
  7.4535099999999996  0.8537800000000000  0.0621700000000000
  5.9689500000000004  1.7367699999999999  4.9164000000000003
  1.4986600000000001  7.7298700000000000  2.4932900000000000
  0.0100000000000000  3.4322800000000000  0.0621700000000000
 -1.5224100000000000  4.2751000000000001  5.1024900000000004
 -1.4787900000000000  2.5727799999999998  2.4932900000000000
  2.9874100000000001  3.4322800000000000  0.0621700000000000
  1.4936000000000000  4.2962999999999996  5.1189299999999998
  1.4987100000000000  2.5727799999999998  2.4932900000000000
  5.9648099999999999  3.4322800000000000  0.0621700000000000
  4.5205500000000001  4.2785799999999998  5.0933999999999999
  4.4761100000000003  2.5727799999999998  2.4932900000000000
 -1.4786999999999999  6.0107900000000001  0.0621700000000000
 -2.9657300000000002  6.9366800000000000  4.8938499999999996
 -2.9674900000000002  5.1512900000000004  2.4932900000000000
  1.4987100000000000  6.0107900000000001  0.0621700000000000
  0.0089600000000000  6.9153000000000002  5.1737700000000002
  0.0100000000000000  5.1512900000000004  2.4932900000000000
  4.4761100000000003  6.0107900000000001  0.0621700000000000
  2.9952200000000002  6.9114399999999998  5.1681999999999997
  2.9874100000000001  5.1512900000000004  2.4932900000000000
  5.9719800000000003  0.1963400000000000  5.9486600000000003
  0.0360000000000000  0.0441400000000000  5.8594999999999997
  3.0597300000000001  5.1573599999999997  5.8729699999999996
 -0.0681800000000000  5.1658499999999998  5.8857699999999999
  1.5074700000000001  2.5332900000000000  5.8906700000000001
 -2.9704600000000001  4.4823000000000004  6.1785500000000004
  2.9630500000000000  0.0388400000000000  5.8553100000000002
  1.1501600000000001  4.1937199999999999  7.8656199999999998
  1.9066000000000001  3.4107699999999999  8.9702999999999999
 -0.4855200000000000  3.4906100000000002  9.5584600000000002
 -1.4051600000000000  3.5750799999999998 10.7923299999999998
  1.9577199999999999  5.7321499999999999  9.6512499999999992
  1.9916700000000001  6.5579400000000003 10.9526000000000003
  2.9039899999999998  1.3348400000000000  8.7516499999999997
  4.0034099999999997  2.4069500000000001  8.7932100000000002
  1.2239800000000001  4.1066500000000001  8.8341499999999993
 -1.3265700000000000  3.1543100000000002  9.9250399999999992
  2.3692299999999999  6.5165199999999999 10.0631199999999996
  3.2028599999999998  2.1103499999999999  9.2515599999999996

H2O dE=1.5
Au  H  O 
 1.0000000000000000
     8.9322996139999997    0.0000000000000000    0.0000000000000000
    -4.4661498069999999    7.7355983799999999    0.0000000000000000
     0.0000000000000000    0.0000000000000000   19.8621006010000016
 Au  H   O  
  27  15   4
Cartesian
  1.4987100000000000  0.8537800000000000  0.0621700000000000
 -0.0344500000000000  1.7894900000000000  5.0407200000000003
 -4.4562299999999997  7.7298700000000000  2.4932900000000000
  4.4761100000000003  0.8537800000000000  0.0621700000000000
  3.0324800000000001  1.7889999999999999  5.0284500000000003
 -1.4787399999999999  7.7298700000000000  2.4932900000000000
  7.4535099999999996  0.8537800000000000  0.0621700000000000
  5.9661099999999996  1.7349500000000000  4.9114199999999997
  1.4986600000000001  7.7298700000000000  2.4932900000000000
  0.0100000000000000  3.4322800000000000  0.0621700000000000
 -1.5218000000000000  4.2841500000000003  5.1120099999999997
 -1.4787900000000000  2.5727799999999998  2.4932900000000000
  2.9874100000000001  3.4322800000000000  0.0621700000000000
  1.4990800000000000  4.3124900000000004  5.0677599999999998
  1.4987100000000000  2.5727799999999998  2.4932900000000000
  5.9648099999999999  3.4322800000000000  0.0621700000000000
  4.5167200000000003  4.2869200000000003  5.1124599999999996
  4.4761100000000003  2.5727799999999998  2.4932900000000000
 -1.4786999999999999  6.0107900000000001  0.0621700000000000
 -2.9654300000000000  6.9355000000000002  4.8947399999999996
 -2.9674900000000002  5.1512900000000004  2.4932900000000000
  1.4987100000000000  6.0107900000000001  0.0621700000000000
  0.0016000000000000  6.9250499999999997  5.2039499999999999
  0.0100000000000000  5.1512900000000004  2.4932900000000000
  4.4761100000000003  6.0107900000000001  0.0621700000000000
  3.0024500000000001  6.9239100000000002  5.2175900000000004
  2.9874100000000001  5.1512900000000004  2.4932900000000000
  5.9665100000000004  0.2035900000000000  5.9594399999999998
  0.0351300000000000  0.0580000000000000  5.8869100000000003
  3.0734200000000000  5.1659699999999997  5.8861499999999998
 -0.0719400000000000  5.1722700000000001  5.8841599999999996
  1.5020100000000001  2.5365899999999999  5.8905900000000004
 -2.9721600000000001  4.3462199999999998  6.2049300000000001
  2.9683899999999999  0.0576600000000000  5.8734599999999997
  1.1266600000000000  4.2245900000000001  7.9551499999999997
  1.9258200000000001  3.3964200000000000  8.9940999999999995
 -0.4940300000000000  3.4806599999999999  9.5695899999999998
 -1.4716700000000000  3.5169700000000002 10.7603899999999992
  1.9595199999999999  5.7377300000000000  9.6798000000000002
  2.0358100000000001  6.6156600000000001 10.9449500000000004
  2.9418799999999998  1.2973200000000000  8.7922600000000006
  4.0369599999999997  2.3826000000000001  8.7973400000000002
  1.2362599999999999  4.0949600000000004  8.9113799999999994
 -1.3703300000000000  3.1652300000000002  9.8648600000000002
  2.3509500000000001  6.5609400000000004 10.0319299999999991
  3.2222800000000000  2.1077900000000001  9.2445699999999995

H2O dE=2.5
Au  H  O 
 1.0000000000000000
     8.9322996139999997    0.0000000000000000    0.0000000000000000
    -4.4661498069999999    7.7355983799999999    0.0000000000000000
     0.0000000000000000    0.0000000000000000   19.8621006010000016
 Au  H   O  
  27  15   4
Cartesian
  1.4987100000000000  0.8537800000000000  0.0621700000000000
 -0.0453500000000000  1.7817700000000001  4.9996400000000003
