H2O dE=2.0
Au  O  H 
 1.0000000000000000
     8.9322996139999997    0.0000000000000000    0.0000000000000000
    -4.4661498069999999    7.7355983799999999    0.0000000000000000
     0.0000000000000000    0.0000000000000000   19.8621006010000016
 Au  O   H  
  27   4   8
Cartesian
  1.4987100000000000  0.8537800000000000  0.0621700000000000
  0.0095500000000000  1.7077700000000000  4.9885999999999999
 -4.4562299999999997  7.7298700000000000  2.4932900000000000
  4.4761100000000003  0.8537800000000000  0.0621700000000000
  2.9849800000000002  1.7067099999999999  4.9954700000000001
 -1.4787399999999999  7.7298700000000000  2.4932900000000000
  7.4535099999999996  0.8537800000000000  0.0621700000000000
  5.9596900000000002  1.7068099999999999  4.9904299999999999
  1.4986600000000001  7.7298700000000000  2.4932900000000000
  0.0100000000000000  3.4322800000000000  0.0621700000000000
 -1.4801000000000000  4.2881999999999998  4.9937899999999997
 -1.4787900000000000  2.5727799999999998  2.4932900000000000
  2.9874100000000001  3.4322800000000000  0.0621700000000000
  1.4919000000000000  4.2907400000000004  5.0036600000000000
  1.4987100000000000  2.5727799999999998  2.4932900000000000
  5.9648099999999999  3.4322800000000000  0.0621700000000000
  4.4731500000000004  4.2853700000000003  4.9914899999999998
  4.4761100000000003  2.5727799999999998  2.4932900000000000
 -1.4786999999999999  6.0107900000000001  0.0621700000000000
 -2.9659700000000000  6.8673799999999998  4.9875299999999996
 -2.9674900000000002  5.1512900000000004  2.4932900000000000
  1.4987100000000000  6.0107900000000001  0.0621700000000000
  0.0065700000000000  6.8620400000000004  4.9984900000000003
  0.0100000000000000  5.1512900000000004  2.4932900000000000
  4.4761100000000003  6.0107900000000001  0.0621700000000000
  2.9848400000000002  6.8649600000000000  4.9952500000000004
  2.9874100000000001  5.1512900000000004  2.4932900000000000
  1.4807100000000000  4.6512000000000002  8.6646300000000007
 -0.9108500000000000  3.6293799999999998 10.0367599999999992
  2.7656999999999998  6.9179700000000004 10.0525800000000007
  3.4935900000000002  2.6107100000000001  9.0191800000000004
  1.3758699999999999  4.7738199999999997  7.7030900000000004
  2.1686600000000000  3.9555199999999999  8.7530699999999992
 -0.1380600000000000  4.0085800000000003  9.5773100000000007
 -0.9968000000000000  4.1434499999999996 10.8530800000000003
  2.2882799999999999  6.2056199999999997  9.5884099999999997
  2.3175599999999998  7.0086899999999996 10.9061400000000006
  3.2572100000000002  1.8977200000000001  8.4027600000000007
  4.3146199999999997  2.9817800000000001  8.6622199999999996

H2O dE=1.5
Au  O  H 
 1.0000000000000000
     8.9322996139999997    0.0000000000000000    0.0000000000000000
    -4.4661498069999999    7.7355983799999999    0.0000000000000000
     0.0000000000000000    0.0000000000000000   19.8621006010000016
 Au  O   H  
  27   4   8
Cartesian
  1.4987100000000000  0.8537800000000000  0.0621700000000000
  0.0075300000000000  1.7075300000000000  4.9966900000000001
 -4.4562299999999997  7.7298700000000000  2.4932900000000000
  4.4761100000000003  0.8537800000000000  0.0621700000000000
  2.9851600000000000  1.7070500000000000  4.9905700000000000
 -1.4787399999999999  7.7298700000000000  2.4932900000000000
  7.4535099999999996  0.8537800000000000  0.0621700000000000
  5.9629599999999998  1.7072300000000000  4.9964599999999999
  1.4986600000000001  7.7298700000000000  2.4932900000000000
  0.0100000000000000  3.4322800000000000  0.0621700000000000
 -1.4806900000000001  4.2858700000000001  5.0021599999999999
 -1.4787900000000000  2.5727799999999998  2.4932900000000000
  2.9874100000000001  3.4322800000000000  0.0621700000000000
  1.4939600000000000  4.2899599999999998  4.9979500000000003
  1.4987100000000000  2.5727799999999998  2.4932900000000000
  5.9648099999999999  3.4322800000000000  0.0621700000000000
  4.4741499999999998  4.2873299999999999  4.9952500000000004
  4.4761100000000003  2.5727799999999998  2.4932900000000000
 -1.4786999999999999  6.0107900000000001  0.0621700000000000
 -2.9690200000000000  6.8647299999999998  4.9974200000000000
 -2.9674900000000002  5.1512900000000004  2.4932900000000000
  1.4987100000000000  6.0107900000000001  0.0621700000000000
  0.0091500000000000  6.8629699999999998  5.0069600000000003
  0.0100000000000000  5.1512900000000004  2.4932900000000000
  4.4761100000000003  6.0107900000000001  0.0621700000000000
  2.9851000000000001  6.8643900000000002  5.0032800000000002
  2.9874100000000001  5.1512900000000004  2.4932900000000000
  1.4931500000000000  4.6520000000000001  8.7101299999999995
 -0.9314500000000000  3.6364100000000001 10.0188600000000001
  2.7502399999999998  6.9385199999999996 10.0307499999999994
  3.4830899999999998  2.6357300000000001  8.9966799999999996
  1.3378800000000000  4.8267400000000000  7.7647300000000001
  2.1750600000000002  3.9434999999999998  8.7264499999999998
 -0.1326900000000000  3.9996499999999999  9.5899800000000006
 -1.0162400000000000  4.1250700000000000 10.8491099999999996
  2.2934000000000001  6.1870599999999998  9.6052499999999998
  2.3367399999999998  7.0274599999999996 10.9003999999999994
  3.2876799999999999  1.8567000000000000  8.4529899999999998
  4.3373799999999996  2.9587900000000000  8.6694399999999998

H2O dE=2.5
Au  O  H 
 1.0000000000000000
     8.9322996139999997    0.0000000000000000    0.0000000000000000
    -4.4661498069999999    7.7355983799999999    0.0000000000000000
     0.0000000000000000    0.0000000000000000   19.8621006010000016
 Au  O   H  
  27   4   8
Cartesian
  1.4987100000000000  0.8537800000000000  0.0621700000000000
  0.0129700000000000  1.7117400000000000  4.9775299999999998
